id,life_health,motor,travel,capacity
0,True,False,False,95
1,True,False,True,88
2,True,True,False,98
3,True,True,True,47
4,True,True,False,73
5,True,False,False,31
6,True,True,False,93
7,True,True,False,66
8,True,False,False,82
9,False,True,True,69
10,False,True,False,49
11,True,True,True,38
12,True,True,True,32
13,True,True,False,67
14,True,True,True,76
15,True,False,False,47
16,True,True,False,97
17,True,True,True,35
18,True,False,False,52
19,True,True,False,60
20,True,False,False,74
21,True,True,False,39
22,False,True,False,63
23,True,False,True,79
24,True,True,False,91
25,True,True,False,45
26,True,False,False,32
27,True,False,False,41
28,True,False,True,34
29,True,False,False,67
30,True,True,True,46
31,True,False,False,51
32,True,False,False,68
33,True,True,False,41
34,True,False,False,57
35,True,False,False,82
36,True,True,True,59
37,True,True,False,57
38,True,False,True,40
39,True,False,False,87
40,True,True,False,18
41,True,True,False,92
42,True,True,False,39
43,True,True,False,73
44,True,True,False,25
45,True,True,True,55
46,True,True,False,33
47,True,True,True,11
48,True,False,False,21
49,True,False,False,38
50,True,True,False,40
51,True,True,False,41
52,True,False,True,70
53,True,True,False,57
54,True,False,True,54
55,True,True,True,76
56,True,True,False,87
57,True,False,True,68
58,True,True,False,29
59,True,True,False,91
60,True,True,False,40
61,True,True,False,90
62,True,True,True,71
63,True,True,True,96
64,True,False,False,72
65,True,True,True,82
66,True,True,True,76
67,True,True,True,71
68,False,True,False,89
69,True,False,False,50
70,True,True,False,38
71,True,True,False,67
72,True,True,False,43
73,True,True,False,60
74,True,True,False,89
75,True,True,False,47
76,True,True,False,18
77,True,False,True,76
78,True,True,False,66
79,True,True,False,91
