id,travel,life_health,motor,travel_slots,life_health_slots,motor_slots,capacity,sum_assigned
16,False,False,True,100,0,0,100,100
42,False,False,True,100,0,0,100,100
23,False,False,True,70,0,0,70,70
15,False,False,True,50,0,0,50,50
51,False,False,True,50,0,0,50,50
28,True,False,True,70,35,0,35,105
70,True,False,True,70,35,0,35,105
22,False,True,True,70,0,35,35,105
40,False,True,True,70,0,35,35,105
0,True,True,True,100,34,33,33,167
3,True,True,True,100,34,33,33,167
5,True,True,True,100,34,33,33,167
6,True,True,True,100,34,33,33,167
13,True,True,True,100,34,33,33,167
21,True,True,True,100,34,33,33,167
27,True,True,True,100,34,33,33,167
29,True,True,True,100,34,33,33,167
32,True,True,True,100,34,33,33,167
33,True,True,True,100,34,33,33,167
34,True,True,True,100,34,33,33,167
41,True,True,True,100,34,33,33,167
47,True,True,True,100,34,33,33,167
52,True,True,True,100,34,33,33,167
53,True,True,True,100,34,33,33,167
58,True,True,True,100,34,33,33,167
61,True,True,True,100,34,33,33,167
64,True,True,True,100,34,33,33,167
66,True,True,True,100,34,33,33,167
69,True,True,True,100,34,33,33,167
71,True,True,True,100,34,33,33,167
76,True,True,True,100,34,33,33,167
77,True,True,True,100,34,33,33,167
78,True,True,True,100,34,33,33,167
39,True,False,True,50,25,0,25,75
44,False,True,True,50,0,25,25,75
56,False,True,True,50,0,25,25,75
2,True,True,True,70,24,23,23,117
4,True,True,True,70,24,23,23,117
8,True,True,True,70,24,23,23,117
9,True,True,True,70,24,23,23,117
10,True,True,True,70,24,23,23,117
14,True,True,True,70,24,23,23,117
20,True,True,True,70,24,23,23,117
24,True,True,True,70,24,23,23,117
26,True,True,True,70,24,23,23,117
35,True,True,True,70,24,23,23,117
38,True,True,True,70,24,23,23,117
45,True,True,True,70,24,23,23,117
46,True,True,True,70,24,23,23,117
48,True,True,True,70,24,23,23,117
50,True,True,True,70,24,23,23,117
59,True,True,True,70,24,23,23,117
60,True,True,True,70,24,23,23,117
62,True,True,True,70,24,23,23,117
67,True,True,True,70,24,23,23,117
73,True,True,True,70,24,23,23,117
79,True,True,True,70,24,23,23,117
1,True,True,True,50,17,17,16,84
7,True,True,True,50,17,17,16,84
11,True,True,True,50,17,17,16,84
18,True,True,True,50,17,17,16,84
36,True,True,True,50,17,17,16,84
37,True,True,True,50,17,17,16,84
43,True,True,True,50,17,17,16,84
49,True,True,True,50,17,17,16,84
55,True,True,True,50,17,17,16,84
63,True,True,True,50,17,17,16,84
65,True,True,True,50,17,17,16,84
68,True,True,True,50,17,17,16,84
72,True,True,True,50,17,17,16,84
74,True,True,True,50,17,17,16,84
12,True,True,False,50,25,25,0,100
25,True,True,False,70,35,35,0,140
30,True,True,False,100,50,50,0,200
31,True,True,False,50,25,25,0,100
75,True,True,False,70,35,35,0,140
17,True,False,False,100,100,0,0,200
19,False,True,False,50,0,50,0,100
54,False,True,False,50,0,50,0,100
57,False,True,False,70,0,70,0,140
