id,demand
0,life_health
1,motor
2,motor
3,travel
4,life_health
5,life_health
6,travel
7,travel
8,life_health
9,life_health
10,life_health
11,life_health
12,life_health
13,life_health
14,life_health
15,motor
16,motor
17,life_health
18,life_health
19,life_health
20,travel
21,motor
22,life_health
23,motor
24,travel
25,life_health
26,travel
27,life_health
28,life_health
29,motor
30,life_health
31,travel
32,life_health
33,travel
34,travel
35,life_health
36,travel
37,travel
38,motor
39,travel
40,travel
41,travel
42,life_health
43,life_health
44,motor
45,travel
46,motor
47,life_health
48,motor
49,motor
50,travel
51,motor
52,life_health
53,life_health
54,motor
55,travel
56,life_health
57,travel
58,travel
59,life_health
60,life_health
61,motor
62,life_health
63,life_health
64,motor
65,life_health
66,life_health
67,travel
68,life_health
69,travel
70,life_health
71,life_health
72,life_health
73,life_health
74,travel
75,life_health
76,life_health
77,travel
78,life_health
79,life_health
80,life_health
81,life_health
82,travel
83,life_health
84,motor
85,life_health
86,life_health
87,life_health
88,life_health
89,motor
90,motor
91,life_health
92,travel
93,life_health
94,motor
95,life_health
96,travel
97,motor
98,life_health
99,life_health
100,travel
101,life_health
102,travel
103,life_health
104,life_health
105,motor
106,travel
107,life_health
108,life_health
109,motor
110,motor
111,life_health
112,motor
113,motor
114,motor
115,life_health
116,life_health
117,motor
118,travel
119,life_health
120,motor
121,life_health
122,life_health
123,life_health
124,motor
125,life_health
126,life_health
127,life_health
128,travel
129,travel
130,life_health
131,travel
132,motor
133,life_health
134,travel
135,life_health
136,travel
137,life_health
138,life_health
139,life_health
140,travel
141,motor
142,travel
143,life_health
144,motor
145,life_health
146,life_health
147,motor
148,motor
149,life_health
150,life_health
151,life_health
152,life_health
153,life_health
154,travel
155,motor
156,motor
157,motor
158,motor
159,life_health
160,life_health
161,motor
162,life_health
163,travel
164,motor
165,motor
166,life_health
167,motor
168,life_health
169,travel
170,life_health
171,motor
172,life_health
173,life_health
174,life_health
175,life_health
176,motor
177,life_health
178,motor
179,travel
180,life_health
181,motor
182,life_health
183,travel
184,motor
185,travel
186,life_health
187,travel
188,travel
189,travel
190,motor
191,travel
192,travel
193,life_health
194,life_health
195,life_health
196,life_health
197,life_health
198,life_health
199,life_health
200,motor
201,life_health
202,life_health
203,life_health
204,motor
205,motor
206,motor
207,life_health
208,motor
209,motor
210,travel
211,life_health
212,life_health
213,motor
214,motor
215,motor
216,motor
217,life_health
218,travel
219,motor
220,life_health
221,life_health
222,travel
223,motor
224,travel
225,motor
226,life_health
227,motor
228,life_health
229,life_health
230,life_health
231,life_health
232,travel
233,travel
234,life_health
235,motor
236,motor
237,life_health
238,motor
239,motor
240,life_health
241,life_health
242,life_health
243,motor
244,travel
245,life_health
246,life_health
247,motor
248,travel
249,life_health
250,motor
251,life_health
252,motor
253,motor
254,travel
255,travel
256,motor
257,travel
258,travel
259,motor
260,motor
261,life_health
262,motor
263,life_health
264,life_health
265,motor
266,travel
267,life_health
268,life_health
269,motor
270,motor
271,motor
272,life_health
273,motor
274,life_health
275,life_health
276,travel
277,life_health
278,travel
279,motor
280,motor
281,motor
282,life_health
283,life_health
284,travel
285,life_health
286,life_health
287,life_health
288,life_health
289,motor
290,life_health
291,life_health
292,motor
293,life_health
294,life_health
295,motor
296,life_health
297,life_health
298,life_health
299,travel
300,travel
301,life_health
302,motor
303,life_health
304,motor
305,travel
306,life_health
307,life_health
308,life_health
309,life_health
310,travel
311,motor
312,life_health
313,life_health
314,motor
315,travel
316,life_health
317,life_health
318,life_health
319,motor
320,motor
321,life_health
322,motor
323,travel
324,motor
325,life_health
326,life_health
327,motor
328,life_health
329,life_health
330,motor
331,motor
332,motor
333,travel
334,life_health
335,travel
336,life_health
337,travel
338,motor
339,life_health
340,motor
341,motor
342,life_health
343,life_health
344,travel
345,life_health
346,motor
347,life_health
348,life_health
349,motor
350,travel
351,travel
352,life_health
353,motor
354,motor
355,life_health
356,motor
357,travel
358,life_health
359,life_health
360,travel
361,motor
362,life_health
363,life_health
364,motor
365,motor
366,motor
367,life_health
368,life_health
369,motor
370,travel
371,life_health
372,motor
373,life_health
374,motor
375,life_health
376,life_health
377,life_health
378,motor
379,travel
380,life_health
381,life_health
382,motor
383,life_health
384,life_health
385,life_health
386,travel
387,travel
388,motor
389,motor
390,motor
391,travel
392,travel
393,life_health
394,life_health
395,life_health
396,life_health
397,travel
398,motor
399,life_health
400,motor
401,travel
402,life_health
403,life_health
404,travel
405,motor
406,life_health
407,travel
408,life_health
409,life_health
410,motor
411,motor
412,life_health
413,life_health
414,life_health
415,motor
416,motor
417,life_health
418,life_health
419,life_health
420,travel
421,life_health
422,motor
423,travel
424,travel
425,travel
426,life_health
427,life_health
428,motor
429,life_health
430,life_health
431,motor
432,travel
433,travel
434,travel
435,life_health
436,travel
437,motor
438,life_health
439,motor
440,life_health
441,travel
442,life_health
443,life_health
444,life_health
445,motor
446,travel
447,motor
448,life_health
449,life_health
450,life_health
451,life_health
452,life_health
453,life_health
454,life_health
455,motor
456,motor
457,travel
458,life_health
459,life_health
460,travel
461,motor
462,travel
463,life_health
464,life_health
465,life_health
466,motor
467,life_health
468,life_health
469,life_health
470,life_health
471,travel
472,motor
473,motor
474,motor
475,life_health
476,life_health
477,travel
478,motor
479,life_health
480,life_health
481,motor
482,motor
483,life_health
484,life_health
485,life_health
486,motor
487,life_health
488,life_health
489,motor
490,life_health
491,life_health
492,motor
493,motor
494,life_health
495,life_health
496,travel
497,motor
